PID                 PPID                STAT                ELAPSED             COMMAND
3642116             3642099             Ss                  08:23               sleep infinity
3642902             3642099             Ss                  08:22               bash -lc bash /opt/dsv41/results/ced_d_1m_cedrole_20260924/inner.sh > /opt/dsv41/results/ced_d_1m_cedrole_20260924/serve.log 2>&1
3642987             3642902             Sl                  08:21               /usr/local/python3.12.13/bin/python3 /usr/local/python3.12.13/bin/vllm serve /home/l00886679/models/out/v41-flat-verify3 --host 0.0.0.0 --port 18991 --served-model-name deepseek-v41-ced-pd-1m --tensor-parallel-size 8 --enable-expert-parallel --trust-remote-code --dtype bfloat16 --kv-cache-dtype bfloat16 --quantization ascend --max-model-len 1048576 --max-num-seqs 4 --max-num-batched-tokens 8192 --block-size 128 --gpu-memory-utilization 0.92 --additional-config {"enable_engram":true,"enable_cpu_binding":false,"ascend_compilation_config":{"enable_npugraph_ex":true,"enable_static_kernel":false},"multistream_overlap_shared_expert":true,"multistream_dsv4_dsa_overlap":true,"enable_prefill_mc2":false,"enable_mc2_hierarchy_comm":false,"engram_storage":"int8"} --compilation-config {"cudagraph_mode": "FULL_DECODE_ONLY", "cudagraph_capture_sizes": [1,2,3,4,8,12,16,20,24,32]} --no-enable-prefix-caching --model-loader-extra-config {"enable_multithread_load":true,"num_threads":128} --safetensors-load-strategy lazy --limit-mm-per-prompt {"image": 1} --kv-transfer-config {"kv_connector":"MooncakeHybridConnector","kv_role":"kv_consumer","kv_port":"19091","kv_connector_extra_config":{"prefill":{"dp_size":1,"tp_size":8},"decode":{"dp_size":1,"tp_size":8}}} --tokenizer-mode=deepseek_v41 --reasoning-parser=deepseek_v41 --tool-call-parser=deepseek_v41 --enable-auto-tool-choice --default-chat-template-kwargs={"enable_thinking":false}
3644085             3642987             S                   07:56               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.resource_tracker import main;main(40)
3644087             3642987             Sl                  07:56               VLLM::EngineCore
3644279             3644087             Sl                  07:44               VLLM::Worker_TP0_EP0
3644438             3644087             Sl                  07:34               VLLM::Worker_TP1_EP1
3644617             3644087             Sl                  07:24               VLLM::Worker_TP2_EP2
3644778             3644087             Sl                  07:14               VLLM::Worker_TP3_EP3
3644964             3644087             Sl                  07:04               VLLM::Worker_TP4_EP4
3645155             3644087             Sl                  06:54               VLLM::Worker_TP5_EP5
3645339             3644087             Sl                  06:44               VLLM::Worker_TP6_EP6
3645583             3644087             Sl                  06:34               VLLM::Worker_TP7_EP7
3649348             3644279             Sl                  04:57               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=151) --multiprocessing-fork
3649410             3644617             Sl                  04:55               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=122) --multiprocessing-fork
3649428             3644438             Sl                  04:55               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=122) --multiprocessing-fork
3649462             3644964             Sl                  04:53               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=122) --multiprocessing-fork
3649619             3644279             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649620             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649621             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649622             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649623             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649624             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649625             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649626             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649627             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649628             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649629             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649630             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649631             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649632             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649633             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649634             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649635             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649636             3649619             S                   04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(147, 150, [], **{})
3649640             3644778             Sl                  04:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=122) --multiprocessing-fork
3649890             3644617             S                   04:50               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649891             3649890             S                   04:50               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649892             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649893             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649894             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649895             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649896             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649897             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649898             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649899             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649926             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649929             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649932             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649936             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649940             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649943             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649946             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649949             3649890             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649986             3644438             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649987             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649988             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649989             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649990             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649991             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649992             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649993             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649994             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649995             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649996             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649997             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3649998             3649986             S                   04:49               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
