PID                 PPID                STAT                ELAPSED             COMMAND
3754702             3754685             Ss                  07:38               sleep infinity
3755347             3754685             Ss                  07:38               bash -lc bash /opt/dsv41/results/ced_p_1m_doublefresh_20260924/inner.sh > /opt/dsv41/results/ced_p_1m_doublefresh_20260924/serve.log 2>&1
3755432             3755347             Sl                  07:37               /usr/local/python3.12.13/bin/python3 /usr/local/python3.12.13/bin/vllm serve /home/l00886679/models/out/v41-flat-verify3 --host 0.0.0.0 --port 18990 --served-model-name deepseek-v41-ced-pd-1m --tensor-parallel-size 8 --enable-expert-parallel --trust-remote-code --dtype bfloat16 --kv-cache-dtype bfloat16 --quantization ascend --max-model-len 1048576 --max-num-seqs 4 --max-num-batched-tokens 8192 --block-size 128 --gpu-memory-utilization 0.92 --additional-config {"enable_engram":true,"enable_cpu_binding":false,"ascend_compilation_config":{"enable_npugraph_ex":true,"enable_static_kernel":false},"multistream_overlap_shared_expert":true,"multistream_dsv4_dsa_overlap":true,"enable_prefill_mc2":false,"enable_mc2_hierarchy_comm":false,"engram_storage":"int8"} --compilation-config {"cudagraph_mode": "FULL_DECODE_ONLY", "cudagraph_capture_sizes": [1,2,3,4,8,12,16,20,24,32]} --no-enable-prefix-caching --model-loader-extra-config {"enable_multithread_load":true,"num_threads":128} --safetensors-load-strategy lazy --limit-mm-per-prompt {"image": 1} --kv-transfer-config {"kv_connector":"MooncakeHybridConnector","kv_role":"kv_producer","kv_port":"19090","kv_connector_extra_config":{"prefill":{"dp_size":1,"tp_size":8},"decode":{"dp_size":1,"tp_size":8}}} --tokenizer-mode=deepseek_v41 --reasoning-parser=deepseek_v41 --tool-call-parser=deepseek_v41 --enable-auto-tool-choice --default-chat-template-kwargs={"enable_thinking":false}
3756466             3755432             S                   07:12               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.resource_tracker import main;main(40)
3756467             3755432             Sl                  07:12               VLLM::EngineCore
3756662             3756467             Sl                  07:00               VLLM::Worker_TP0_EP0
3756927             3756467             Sl                  06:50               VLLM::Worker_TP1_EP1
3757110             3756467             Sl                  06:40               VLLM::Worker_TP2_EP2
3757305             3756467             Sl                  06:30               VLLM::Worker_TP3_EP3
3757469             3756467             Sl                  06:20               VLLM::Worker_TP4_EP4
3757746             3756467             Sl                  06:10               VLLM::Worker_TP5_EP5
3757999             3756467             Sl                  06:00               VLLM::Worker_TP6_EP6
3758247             3756467             Sl                  05:50               VLLM::Worker_TP7_EP7
3760935             3757110             Sl                  04:16               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=122) --multiprocessing-fork
3760957             3756662             Sl                  04:15               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=152) --multiprocessing-fork
3761020             3756927             Sl                  04:15               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=122) --multiprocessing-fork
3761096             3758247             Sl                  04:13               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=122) --multiprocessing-fork
3761145             3757305             Sl                  04:12               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=41, pipe_handle=122) --multiprocessing-fork
3761218             3757110             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761219             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761220             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761221             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761222             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761223             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761224             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761225             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761226             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761227             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761232             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761233             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761234             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761235             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3761236             3761218             S                   04:11               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
