PID                 PPID                STAT                ELAPSED             COMMAND
3600581             3600562             Ss                  06:18               sleep infinity
3601206             3600562             Ss                  06:17               bash -lc bash /opt/dsv41/results/ced_d_1m_fresh_20260924/inner.sh > /opt/dsv41/results/ced_d_1m_fresh_20260924/serve.log 2>&1
3601291             3601206             Sl                  06:17               /usr/local/python3.12.13/bin/python3 /usr/local/python3.12.13/bin/vllm serve /home/l00886679/models/out/v41-flat-verify3 --host 0.0.0.0 --port 18991 --served-model-name deepseek-v41-ced-pd-1m --tensor-parallel-size 8 --enable-expert-parallel --trust-remote-code --dtype bfloat16 --kv-cache-dtype bfloat16 --quantization ascend --max-model-len 1048576 --max-num-seqs 4 --max-num-batched-tokens 8192 --block-size 128 --gpu-memory-utilization 0.92 --additional-config {"enable_engram":true,"enable_cpu_binding":false,"ascend_compilation_config":{"enable_npugraph_ex":true,"enable_static_kernel":false},"multistream_overlap_shared_expert":true,"multistream_dsv4_dsa_overlap":true,"enable_prefill_mc2":false,"enable_mc2_hierarchy_comm":false,"engram_storage":"int8"} --compilation-config {"cudagraph_mode": "FULL_DECODE_ONLY", "cudagraph_capture_sizes": [1,2,3,4,8,12,16,20,24,32]} --no-enable-prefix-caching --model-loader-extra-config {"enable_multithread_load":true,"num_threads":128} --safetensors-load-strategy lazy --limit-mm-per-prompt {"image": 1} --kv-transfer-config {"kv_connector":"MooncakeHybridConnector","kv_role":"kv_consumer","kv_port":"19091","kv_connector_extra_config":{"prefill":{"dp_size":1,"tp_size":8},"decode":{"dp_size":1,"tp_size":8}}} --tokenizer-mode=deepseek_v41 --reasoning-parser=deepseek_v41 --tool-call-parser=deepseek_v41 --enable-auto-tool-choice --default-chat-template-kwargs={"enable_thinking":false}
3602353             3601291             S                   05:51               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.resource_tracker import main;main(40)
3602354             3601291             Sl                  05:51               VLLM::EngineCore
3602544             3602354             Sl                  05:39               VLLM::Worker_TP0_EP0
3602698             3602354             Sl                  05:29               VLLM::Worker_TP1_EP1
3602944             3602354             Sl                  05:19               VLLM::Worker_TP2_EP2
3603336             3602354             Sl                  05:09               VLLM::Worker_TP3_EP3
3603544             3602354             Sl                  04:59               VLLM::Worker_TP4_EP4
3603728             3602354             Sl                  04:49               VLLM::Worker_TP5_EP5
3604011             3602354             Sl                  04:39               VLLM::Worker_TP6_EP6
3604289             3602354             Sl                  04:29               VLLM::Worker_TP7_EP7
