PID                 PPID                STAT                ELAPSED             COMMAND
3796704             3796687             Ss                  32:46               sleep infinity
3797349             3796687             Ss                  32:46               bash -lc bash /opt/dsv41/results/ced_full40_1m_doublefresh_20260924/inner.sh > /opt/dsv41/results/ced_full40_1m_doublefresh_20260924/serve.log 2>&1
3797461             3797349             Sl                  32:45               /usr/local/python3.12.13/bin/python3 /usr/local/python3.12.13/bin/vllm serve /home/l00886679/models/out/v41-flat-verify3 --host 0.0.0.0 --port 18993 --served-model-name deepseek-v41-full40-1m --tensor-parallel-size 8 --enable-expert-parallel --trust-remote-code --dtype bfloat16 --kv-cache-dtype bfloat16 --quantization ascend --max-model-len 1048576 --max-num-seqs 4 --max-num-batched-tokens 8192 --block-size 128 --gpu-memory-utilization 0.92 --additional-config {"enable_engram":true,"enable_cpu_binding":false,"ascend_compilation_config":{"enable_npugraph_ex":true,"enable_static_kernel":false},"multistream_overlap_shared_expert":true,"multistream_dsv4_dsa_overlap":true,"enable_prefill_mc2":false,"enable_mc2_hierarchy_comm":false,"engram_storage":"int8"} --compilation-config {"cudagraph_mode": "FULL_DECODE_ONLY", "cudagraph_capture_sizes": [1,2,3,4,8,12,16,20,24,32]} --no-enable-prefix-caching --model-loader-extra-config {"enable_multithread_load":true,"num_threads":128} --safetensors-load-strategy lazy --limit-mm-per-prompt {"image": 1} --tokenizer-mode=deepseek_v41 --reasoning-parser=deepseek_v41 --tool-call-parser=deepseek_v41 --enable-auto-tool-choice --default-chat-template-kwargs={"enable_thinking":false}
3798719             3797461             S                   32:20               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.resource_tracker import main;main(37)
3798720             3797461             Sl                  32:20               VLLM::EngineCore
3798921             3798720             Sl                  32:08               VLLM::Worker_TP0_EP0
3799107             3798720             Sl                  31:58               VLLM::Worker_TP1_EP1
3799364             3798720             Sl                  31:48               VLLM::Worker_TP2_EP2
3799664             3798720             Sl                  31:38               VLLM::Worker_TP3_EP3
3799851             3798720             Sl                  31:28               VLLM::Worker_TP4_EP4
3800034             3798720             Sl                  31:18               VLLM::Worker_TP5_EP5
3800247             3798720             Sl                  31:09               VLLM::Worker_TP6_EP6
3800452             3798720             Sl                  30:59               VLLM::Worker_TP7_EP7
3803285             3799664             Sl                  29:27               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=38, pipe_handle=122) --multiprocessing-fork
3803369             3800034             Sl                  29:23               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=38, pipe_handle=122) --multiprocessing-fork
3803374             3800452             Sl                  29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=38, pipe_handle=122) --multiprocessing-fork
3803429             3799664             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803430             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803431             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803432             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803433             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803434             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803435             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803436             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803437             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803438             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803439             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803440             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803441             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803442             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803443             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803444             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803445             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803446             3803429             S                   29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803447             3798921             Sl                  29:22               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=38, pipe_handle=152) --multiprocessing-fork
3803489             3799364             Sl                  29:21               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=38, pipe_handle=122) --multiprocessing-fork
3803490             3799107             Sl                  29:21               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=38, pipe_handle=122) --multiprocessing-fork
3803666             3800247             Sl                  29:20               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=38, pipe_handle=122) --multiprocessing-fork
3803670             3799851             Sl                  29:20               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=38, pipe_handle=122) --multiprocessing-fork
3803832             3800034             S                   29:18               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803835             3803832             S                   29:18               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
3803847             3803832             S                   29:18               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.forkserver import main; main(119, 121, [], **{})
