PID                 PPID                STAT                ELAPSED             COMMAND
3796704             3796687             Ss                  06:06               sleep infinity
3797349             3796687             Ss                  06:05               bash -lc bash /opt/dsv41/results/ced_full40_1m_doublefresh_20260924/inner.sh > /opt/dsv41/results/ced_full40_1m_doublefresh_20260924/serve.log 2>&1
3797461             3797349             Sl                  06:05               /usr/local/python3.12.13/bin/python3 /usr/local/python3.12.13/bin/vllm serve /home/l00886679/models/out/v41-flat-verify3 --host 0.0.0.0 --port 18993 --served-model-name deepseek-v41-full40-1m --tensor-parallel-size 8 --enable-expert-parallel --trust-remote-code --dtype bfloat16 --kv-cache-dtype bfloat16 --quantization ascend --max-model-len 1048576 --max-num-seqs 4 --max-num-batched-tokens 8192 --block-size 128 --gpu-memory-utilization 0.92 --additional-config {"enable_engram":true,"enable_cpu_binding":false,"ascend_compilation_config":{"enable_npugraph_ex":true,"enable_static_kernel":false},"multistream_overlap_shared_expert":true,"multistream_dsv4_dsa_overlap":true,"enable_prefill_mc2":false,"enable_mc2_hierarchy_comm":false,"engram_storage":"int8"} --compilation-config {"cudagraph_mode": "FULL_DECODE_ONLY", "cudagraph_capture_sizes": [1,2,3,4,8,12,16,20,24,32]} --no-enable-prefix-caching --model-loader-extra-config {"enable_multithread_load":true,"num_threads":128} --safetensors-load-strategy lazy --limit-mm-per-prompt {"image": 1} --tokenizer-mode=deepseek_v41 --reasoning-parser=deepseek_v41 --tool-call-parser=deepseek_v41 --enable-auto-tool-choice --default-chat-template-kwargs={"enable_thinking":false}
3798719             3797461             S                   05:39               /usr/local/python3.12.13/bin/python3 -c from multiprocessing.resource_tracker import main;main(37)
3798720             3797461             Sl                  05:39               VLLM::EngineCore
3798921             3798720             Sl                  05:28               VLLM::Worker_TP0_EP0
3799107             3798720             Sl                  05:18               VLLM::Worker_TP1_EP1
3799364             3798720             Sl                  05:08               VLLM::Worker_TP2_EP2
3799664             3798720             Sl                  04:58               VLLM::Worker_TP3_EP3
3799851             3798720             Sl                  04:48               VLLM::Worker_TP4_EP4
